"GeneID"	"N4wkGK1"	"N4wkGK2"	"N4wkGK3"	"N4wkGK4"	"N4wkGK5"	"N8wkGK1"	"N8wkGK2"	"N8wkGK3"	"N8wkGK4"	"N8wkGK5"	"N12wkGK1"	"N12wkGK2"	"N12wkGK3"	"N12wkGK4"	"N12wkGK5"	"N16wkGK1"	"N16wkGK2"	"N16wkGK3"	"N16wkGK4"	"N16wkGK5"	"N20wkGK1"	"N20wkGK2"	"N20wkGK3"	"N20wkGK4"	"N20wkGK5"
24158	3845.43	3838.27	3588.45	4241.02	3642.37	4314.58	4262.62	4443.97	4739.47	4677.49	4749.25	4756.7	4170.8	4219.53	4600.27	4515.62	4693.32	4710.1	4524.81	4627.22	5603.88	6030.51	5245.48	5591.56	5563.11
363060	2.51109	5.86925	2.229843333	5.10992	3.492263333	17.72134333	3.404463333	2.977376667	18.73518333	2.90753	5.355806667	5.63059	5.12994	3.817146667	5.752676667	4.804903333	11.54906333	6.10964	7.677336667	4.507033333	4.699966667	4.258376667	3.20433	12.19416333	14.67699333
58962	242.528	225.701	235.588	213.693	222.935	166.848	143.481	106.403	103.11	144.577	105.6	147.444	121.489	120.295	151.573	95.5091	117.447	120.339	103.767	117.752	132.679	99.4554	92.6036	155.041	96.7421
300791	557.175	557.862	620.846	600.232	659.996	596.796	614.461	682.553	542.29	580.735	685.574	806.432	654.258	669.542	681.946	709.235	700.428	611.773	639.835	640.575	552.203	559.36	490.805	547.189	560.747
27137	263.87	299.516	268.505	257.692	287.545	345.584	323.359	335.366	436.711	321.494	372.295	388.845	440.1	376.698	356.705	365.504	419.636	442.936	510.194	392.157	401.932	340.716	257.922	267.251	310.61
307212	88.7906	85.9941	92.8894	92.1221	95.6893	82.3132	78.1179	79.7081	68.7977	85.1373	84.9757	90.9427	91.6309	83.0987	90.3637	75.539	95.0177	116.062	68.8993	92.1682	87.63	83.997	102.432	72.238	58.1377
498407	6.915805	14.156635	15.656395	15.96013	19.22325	20.38845	7.54695	5.73998	19.907	16.32845	9.415465	18.656425	18.2924	10.85901	17.119625	16.28774	19.82055	8.811975	18.9837	20.72565	7.87186	9.078065	17.24709	20.49715	13.24175
365227	15.1992	18.5826	1.31377	13.9581	11.1164	7.37808	4.33498	2.90612	16.9271	18.7551	3.62802	4.86298	12.6564	2.31183	1.00518	18.6941	5.5441	1.74062	8.80262	5.89828	0.564519	17.6934	1.89054	1.0042	22.311
84477	3.37568	25.2826	17.5864	15.1811	7.00925	12.4716	21.9437	17.3822	11.3541	5.03831	14.1629	5.86394	19.144	10.8602	9.15816	4.60429	18.166	27.1859	14.2909	7.25135	10.9482	15.9226	5.76944	27.536	4.81264
312251	528.251	495.448	508.567	547.025	502.56	501.733	489.341	489.185	488.806	519.881	492.717	543.044	555.421	604.4	520.23	615.866	585.486	516.623	471.254	595.678	578.067	557.11	704.04	577.316	566.829
315870	1.418203	7.73775	7.72373	15.412485	3.3466165	0.477867	10.11514	3.937965	5.48834	7.503435	13.778185	8.11597	3.915895	3.22157	5.291275	2.61247	8.367305	9.064085	13.968015	4.83022	9.94818	23.8291	8.01934	5.755245	5.67554
81667	527.023	513.2365	533.9265	544.5625	609.0105	525.3445	566.301	551.707	610.642	556.1205	393.794	349.374	388.329	396.0665	397.0245	445.2775	468.2825	489.1425	492.861	455.337	428.358	270.4425	345.738	498.439	326.228
498545	901.4486533	1216.36004	1044.613447	736.8196367	884.9263	1041.519867	1026.973	1270.502767	959.7569	1038.667233	1150.362153	764.0789667	910.336	1099.937927	1298.793337	1425.952933	1363.386767	1249.383333	1005.583333	1243.561003	1127.63965	1394.52005	1147.990717	1138.823897	1207.17428
691093	55.007715	55.4058	49.10944	52.02335	50.09155	51.09702	57.249505	51.26745	34.73829	46.183185	40.455	47.8614	40.00924	40.85135	44.828135	35.596035	47.5542	34.07067	44.730775	33.31965	39.029155	35.76606	38.63569	46.65096	33.84105
291312	12.1961	16.165	19.2226	10.4867	18.0908	15.3837	15.8836	24.8227	9.84507	21.6597	18.5027	33.4813	23.3052	17.4353	11.9969	23.328	23.7514	4.6032	26.7033	16.9774	12.5052	9.67625	20.3137	15.2896	20.3868
293551	965.379	718.138	745.957	900.231	1002.98	1422.1	1304.02	1338.59	1479.66	1347.79	1273.46	1472.19	1533.9	1378.03	1251.3	1344.04	1175.71	1099.76	1257.74	1448.35	1428.04	1460.03	1606.31	1499.3	1476.66
314941	85.0099	59.3226	73.7908	86.1986	70.5381	89.1093	86.8048	73.0062	88.9936	79.4179	67.6038	80.9194	106.993	84.621	64.1629	72.3629	91.4328	79.2097	96.254	104.301	86.0203	102.463	99.8175	92.0118	93.0576
