"GeneID"	"N4wkWT1"	"N4wkWT2"	"N4wkWT3"	"N4wkWT4"	"N4wkWT5"	"N8wkWT1"	"N8wkWT2"	"N8wkWT3"	"N8wkWT4"	"N8wkWT5"	"N12wkWT1"	"N12wkWT2"	"N12wkWT3"	"N12wkWT4"	"N12wkWT5"	"N16wkWT1"	"N16wkWT2"	"N16wkWT3"	"N16wkWT4"	"N16wkWT5"	"N20wkWT1"	"N20wkWT2"	"N20wkWT3"	"N20wkWT4"	"N20wkWT5"
65168	217.953	242.9425	208.738	209.0035	205.7295	278.879	277.4385	177.4655	201.518	170.818	177.294	198.895	207.894	198.835	163.461	168.698	185.337	158.26135	177.9995	190.965	221.566	207.2935	214.2445	202.7705	189.0235
316101	75.423	57.6103	58.36745	66.35055	54.76485	48.3505	62.4408	62.2999	59.36405	79.77555	57.74065	58.53295	51.5381	55.94695	61.9688	42.52115	54.942	46.4793	57.50405	42.281	45.1997	60.3776	75.6077	61.56125	57.2374
288479	87.2142	58.7001	70.3657	53.7239	76.0015	78.1387	68.5654	75.5614	69.7761	89.4194	76.9052	47.3735	64.5111	68.7731	62.342	85.3892	83.5313	75.4473	72.5756	73.5989	79.5595	82.9474	82.4598	64.5278	70.8512
85274	2724.74	3068.51	2923.03	2914.57	2988.36	2683.29	2628.88	3186.09	2839.1	2590.08	2323.51	2494.03	2455.81	2437.07	2672.51	2455.5	2116.08	2662.37	2529.33	2466.54	2400.07	2503.12	2264.41	2351.53	2277.25
289437	79.37245	59.6671	54.06235	72.3205	66.622	55.4822	40.85245	86.7541	50.5041	57.31505	87.68675	64.6088	36.0579	63.58695	69.003	72.5541	57.3429	34.15925	68.3594	56.51825	63.44105	47.5796	57.1188	72.6173	40.7726
56823	1715.99	1790.02	1969.88	1787.23	1935.33	1319.29	1551.09	1400.91	1500.69	1202.79	1495.2	1616.4	1676.73	1655.48	1661.25	1377.64	1839.62	1663.64	1604.61	1472.73	1561.34	1636.52	1576.42	1782.54	1781.98
266758	866.984	931.467	730.277	675.889	635.062	1116.81	978.142	1136.06	945.691	960.493	1016.99	993.735	1041.13	957.16	946.772	745.095	893.135	930.537	904.518	766.097	745.324	839.41	756.017	870.336	743.863
360851	60.0425	84.1914	41.6803	57.1391	39.7579	71.9005	26.4074	54.9739	50.5495	65.2489	33.3589	50.9079	33.6687	57.4491	43.2782	44.9286	35.9989	42.761	32.2148	39.754	75.5528	47.841	47.2575	35.4452	31.4684
311865	299.697	259.885	221.42	314.357	255.635	217.476	268.563	228.88	255.954	217.096	205.251	298.853	227.862	314.53	227.521	188.206	208.898	212.53	256.232	238.361	256.531	260.846	207.701	228.146	208.025
24418	15.9111	1.25476	2.14091	5.07126	2.18165	2.15668	8.82112	1.60618	30.7147	1.3341	7.86247	1.36094	2.24119	1.86871	3.28361	4.34103	21.5937	2.33216	1.89048	1.64888	11.2334	2.07126	2.42434	15.2676	3.24947
83471	363.065	290.154	303.704	346.504	270.299	264.244	263.082	264.532	279.786	192.12	206.342	349.884	326.049	337.467	292.434	245.692	339.731	299.666	328.543	278.139	307.713	336.301	299.602	347.367	333.947
64440	2.488385	3.3373685	5.536585	4.97224	3.53682	3.22788	1.095085	1.590015	1.78027	6.22349	1.992385	5.785585	4.645795	3.386135	4.718415	4.040315	1.751385	4.30707	16.25395	4.728485	1.49241	10.23694	3.00943	6.299255	2.543925
24188	2095.68	1960.11	2390.89	2412.75	2538.46	103.509	275.475	138.508	279.57	97.555	64.9949	57.7805	41.0307	58.0383	57.9406	131.106	88.0207	89.9651	117.819	72.7691	249.247	97.9789	127.314	60.4651	98.7123
