"id"	"X66_D0"	"X68_D0"	"X69_D0"	"X66_D4"	"X68_D4"	"X69_D4"	"X66_D7"	"X68_D7"	"X69_D7"	"X66_D28"	"X68_D28"	"X69_D28"
"ENSMMUG00000000199"	4	1	3	4	0	0	19	22	5	0	5	8
"ENSMMUG00000000200"	1	1	4	0	0	0	0	5	1	0	0	0
"ENSMMUG00000000201"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMMUG00000000202"	8	1	12	12	13	8	5	14	8	14	3	0
"ENSMMUG00000000203"	465	162	258	325	285	297	234	151	207	277	264	124
"ENSMMUG00000000204"	354	151	334	733	945	1147	352	300	576	197	228	119
"ENSMMUG00000000205"	60	16	54	32	20	16	17	19	9	33	48	25
"ENSMMUG00000000207"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMMUG00000000208"	138	59	48	668	741	587	14	6	5	103	117	21
"ENSMMUG00000000209"	30	19	37	21	18	15	3	9	7	13	16	2
"ENSMMUG00000000210"	0	0	2	1	0	0	0	0	0	0	0	0
"ENSMMUG00000000212"	2	0	0	1	2	0	13	1	3	0	0	0
"ENSMMUG00000000213"	4	2	1	0	0	3	1	4	6	9	0	1
"ENSMMUG00000000214"	2	1	4	2	0	2	5	9	14	0	3	0
"ENSMMUG00000000215"	3	0	2	0	0	0	3	6	1	0	0	0
"ENSMMUG00000000216"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMMUG00000000217"	189	137	145	263	210	332	142	155	128	190	189	60
"ENSMMUG00000000218"	0	0	1	1	0	0	0	0	0	0	0	6
"ENSMMUG00000000220"	591	323	565	426	571	563	236	177	224	353	607	279
"ENSMMUG00000000221"	0	0	0	0	0	0	0	0	1	0	0	0
"ENSMMUG00000000222"	4	21	18	3	4	2	1	2	1	27	10	11
"ENSMMUG00000000223"	0	0	1	0	0	0	0	0	0	0	0	0
"ENSMMUG00000000224"	515	599	617	422	350	436	571	638	688	646	894	429
"ENSMMUG00000000225"	98	100	166	64	101	97	130	114	76	198	260	135
"ENSMMUG00000000226"	2794	1069	2377	2070	2722	3165	1426	1357	1576	2741	3246	1233
"ENSMMUG00000000227"	15	11	9	4	9	20	28	13	5	6	4	0
"ENSMMUG00000000229"	1593	837	1009	1982	1819	2164	2354	2093	2165	1239	1502	540
"ENSMMUG00000000232"	1602	508	831	2728	1674	1871	1883	1374	2090	919	852	398
"ENSMMUG00000000233"	8	5	11	1	2	3	5	3	1	6	12	9
"ENSMMUG00000000236"	61	58	62	61	70	91	231	257	288	46	73	29
"ENSMMUG00000000237"	1789	972	1159	2633	1894	2454	3685	2867	3415	1614	1921	838
"ENSMMUG00000000238"	44	45	31	19	15	12	17	19	8	51	35	18
"ENSMMUG00000000240"	8	4	6	22	36	85	0	2	0	3	11	1
"ENSMMUG00000000241"	0	0	0	0	0	0	0	1	1	0	0	0
"ENSMMUG00000000242"	4	0	2	19	9	44	2	5	2	2	0	0
"ENSMMUG00000000243"	0	0	0	0	0	0	1	1	0	0	0	0
"ENSMMUG00000000244"	0	0	0	0	0	1	0	1	0	0	0	0
"ENSMMUG00000000245"	297	469	306	855	438	134	599	377	679	209	134	65
"ENSMMUG00000000246"	5	0	1	2	1	0	4	5	2	0	1	0
"ENSMMUG00000000247"	615	351	589	446	449	548	208	139	278	547	617	227
"ENSMMUG00000000248"	0	0	1	0	0	1	2	0	0	0	0	0
"ENSMMUG00000000249"	620	373	300	674	499	560	646	320	361	801	632	321
"ENSMMUG00000000250"	8	25	18	24	27	51	26	20	23	34	52	31
"ENSMMUG00000000252"	271	133	205	194	148	207	229	177	209	282	258	143
"ENSMMUG00000000255"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMMUG00000000256"	1	0	0	0	0	0	0	1	3	0	0	0
"ENSMMUG00000000258"	22	35	21	30	22	24	24	24	29	37	20	10
"ENSMMUG00000000259"	7	5	6	3	4	5	2	13	1	5	0	4
"ENSMMUG00000000261"	267	199	323	91	90	113	711	801	1425	223	249	120
"ENSMMUG00000000262"	12	4	5	2	2	4	88	45	105	15	5	0
"ENSMMUG00000000263"	314	609	324	450	467	450	579	531	572	275	322	148
"ENSMMUG00000000264"	327	210	332	300	285	267	156	150	161	378	406	218
"ENSMMUG00000000265"	0	0	2	0	0	2	141	61	163	0	4	0
"ENSMMUG00000000266"	0	1	0	1	0	0	0	1	0	0	2	0
"ENSMMUG00000000267"	3453	4201	4201	2262	2171	2005	1107	802	901	5296	5192	3776
"ENSMMUG00000000268"	11	3	2	0	1	0	3	5	2	9	7	0
"ENSMMUG00000000270"	0	0	1	0	1	1	1	0	2	0	0	0
"ENSMMUG00000000271"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMMUG00000000272"	0	1	6	0	2	0	0	2	3	0	0	0
"ENSMMUG00000000273"	68	33	57	65	44	109	94	76	74	56	32	45
"ENSMMUG00000000274"	0	0	0	0	0	0	1	0	0	0	0	0
"ENSMMUG00000000275"	0	0	0	0	0	0	1	0	0	0	0	0
"ENSMMUG00000000276"	20	11	17	19	40	66	18	25	9	10	12	5
"ENSMMUG00000000277"	275	174	224	154	147	140	167	163	179	317	207	159
"ENSMMUG00000000278"	69	373	265	139	335	170	33	63	57	32	142	126
"ENSMMUG00000000281"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMMUG00000000283"	0	0	0	0	3	0	0	1	0	0	0	0
"ENSMMUG00000000284"	304	186	175	194	270	209	127	107	108	251	271	116
"ENSMMUG00000000286"	0	0	0	0	0	0	1	0	0	0	0	0
"ENSMMUG00000000287"	174	243	227	189	119	93	225	161	137	159	201	77
"ENSMMUG00000000288"	3	2	2	8	0	7	1049	300	1197	0	0	0
"ENSMMUG00000000289"	15	4	13	29	35	18	12	7	6	10	10	6
"ENSMMUG00000000290"	0	0	0	0	0	0	5	2	1	0	0	0
"ENSMMUG00000000291"	1	0	0	0	0	0	1	1	0	0	0	0
"ENSMMUG00000000292"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMMUG00000000293"	0	0	1	0	0	0	0	1	0	0	0	0
"ENSMMUG00000000294"	229	214	218	111	114	114	64	51	48	292	294	168
"ENSMMUG00000000295"	0	0	0	0	0	0	0	2	0	0	0	0
"ENSMMUG00000000296"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMMUG00000000297"	336	100	264	208	231	292	89	72	78	305	334	158
"ENSMMUG00000000298"	0	0	0	0	0	0	1	0	0	0	0	0
"ENSMMUG00000000299"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMMUG00000000300"	17140	5580	10147	10317	12864	15516	1575	751	693	21940	15177	4846
"ENSMMUG00000000302"	155	462	173	284	417	95	105	96	90	72	215	53
"ENSMMUG00000000304"	294	103	277	254	224	320	120	55	115	408	258	221
"ENSMMUG00000000305"	7	2	0	4	1	0	0	1	1	0	0	0
"ENSMMUG00000000306"	159	34	93	95	107	132	63	121	130	127	155	74
"ENSMMUG00000000307"	437	212	430	386	384	467	235	198	233	491	353	197
"ENSMMUG00000000308"	329	204	282	521	618	524	371	259	273	262	268	73
"ENSMMUG00000000309"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMMUG00000000310"	3	4	7	7	6	9	2	4	2	4	0	0
"ENSMMUG00000000311"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMMUG00000000312"	60	61	94	33	40	35	45	25	12	91	125	57
"ENSMMUG00000000313"	9	9	15	4	5	3	9	5	5	7	8	5
"ENSMMUG00000000314"	63	17	37	25	48	47	29	16	22	60	42	42
"ENSMMUG00000000315"	302	137	247	201	231	202	123	131	216	200	107	118
"ENSMMUG00000000316"	1	0	0	0	0	0	0	1	0	0	0	0
"ENSMMUG00000000317"	0	0	0	0	0	0	0	1	0	0	0	0
"ENSMMUG00000000318"	11	7	19	11	16	14	18	57	42	11	10	9
"ENSMMUG00000000319"	217	101	212	272	338	389	256	245	232	264	281	136
"ENSMMUG00000000320"	55	49	44	158	110	241	229	245	252	79	78	22
"ENSMMUG00000000321"	120	134	148	189	169	263	416	337	603	142	170	53
"ENSMMUG00000000322"	174	135	126	160	135	174	136	147	113	209	192	106
"ENSMMUG00000000323"	535	314	507	573	475	874	501	612	726	512	421	212
"ENSMMUG00000000324"	0	0	0	1	0	0	1	1	0	0	0	0
"ENSMMUG00000000326"	0	0	0	1	0	0	5	3	8	0	1	0
"ENSMMUG00000000327"	3	89	18	22	40	3	206	47	40	5	100	3
"ENSMMUG00000000328"	7	40	9	10	15	4	19	20	11	9	23	0
"ENSMMUG00000000329"	347	193	276	324	287	436	690	645	557	285	251	132
"ENSMMUG00000000330"	2808	1334	2045	2057	2133	2612	1967	1654	1865	2439	2573	1068
"ENSMMUG00000000331"	446	289	326	452	403	362	574	460	709	468	329	212
"ENSMMUG00000000332"	1678	727	1360	4255	6774	6062	56	28	76	2381	2547	1344
