"id"	"X70_D0"	"X71_D0"	"X72_D0"	"X70_D4"	"X71_D4"	"X72_D4"	"X70_D7"	"X71_D7"	"X72_D7"	"X70_D28"	"X71_D28"	"X72_D28"
"ENSMMUG00000000238"	73	46	50	29	29	25	37	34	27	15	34	9
"ENSMMUG00000000240"	0	11	0	5	3	0	1	13	0	0	5	0
"ENSMMUG00000000241"	0	0	0	0	0	0	1	1	0	0	0	0
"ENSMMUG00000000242"	0	0	0	2	0	0	0	1	4	0	0	0
"ENSMMUG00000000243"	0	0	1	0	0	0	0	0	0	0	0	0
"ENSMMUG00000000244"	0	2	9	0	0	0	0	1	0	0	0	0
"ENSMMUG00000000245"	477	1537	156	382	707	156	816	1240	232	158	394	33
"ENSMMUG00000000246"	0	1	4	2	0	3	0	1	0	0	0	0
"ENSMMUG00000000247"	641	417	373	459	277	414	504	421	262	397	480	180
"ENSMMUG00000000248"	0	0	0	0	4	0	1	3	0	0	0	0
"ENSMMUG00000000249"	151	194	276	172	155	380	130	350	293	141	405	217
"ENSMMUG00000000250"	10	6	2	4	8	44	6	18	10	23	32	16
"ENSMMUG00000000252"	225	114	150	197	150	214	173	142	151	167	222	83
"ENSMMUG00000000255"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMMUG00000000256"	0	0	0	0	0	0	0	1	0	0	0	0
"ENSMMUG00000000258"	1	2	23	4	2	48	3	7	27	5	14	10
"ENSMMUG00000000259"	1	0	2	9	0	0	2	0	1	0	0	0
"ENSMMUG00000000261"	86	62	307	82	48	287	28	71	161	20	97	88
"ENSMMUG00000000262"	10	5	10	5	2	19	3	1	17	5	3	1
"ENSMMUG00000000263"	161	188	299	178	140	270	173	239	216	46	180	138
"ENSMMUG00000000264"	222	187	181	171	217	171	227	333	190	192	340	177
"ENSMMUG00000000265"	0	1	15	0	1	0	0	1	4	0	9	0
"ENSMMUG00000000266"	0	0	4	0	0	0	0	0	0	0	0	0
